pred_bin,mean_pred,var_residual,actual_mae,count,phi_residual,theoretical_mae,ratio,crime_range
"(2.728, 5.995]",4.8325,5.8332,1.9314,2984,1.2071,1.9271,1.0023,"(2.728, 5.995]"
"(5.995, 7.732]",6.9291,9.7960,2.5314,2983,1.4138,2.4973,1.0137,"(5.995, 7.732]"
"(7.732, 9.466]",8.5037,14.2219,2.9334,2983,1.6724,3.0090,0.9749,"(7.732, 9.466]"
"(9.466, 11.097]",10.3350,15.5452,3.1411,2984,1.5041,3.1459,0.9985,"(9.466, 11.097]"
"(11.097, 12.654]",11.8235,20.8199,3.4644,2983,1.7609,3.6407,0.9516,"(11.097, 12.654]"
"(12.654, 15.062]",13.7729,22.9524,3.7915,2983,1.6665,3.8226,0.9919,"(12.654, 15.062]"
"(15.062, 18.119]",16.4821,34.1706,4.4411,2984,2.0732,4.6641,0.9522,"(15.062, 18.119]"
"(18.119, 23.436]",20.4516,44.4616,5.0498,2983,2.1740,5.3203,0.9492,"(18.119, 23.436]"
"(23.436, 35.081]",28.2978,61.9972,6.2088,2983,2.1909,6.2824,0.9883,"(23.436, 35.081]"
"(35.081, 1358.876]",72.9335,355.5724,11.7769,2984,4.8753,15.0454,0.7828,"(35.081, 1358.876]"
